RFID_CODE
170-180-30032117103232329112-80113-60106
170-180-3003211710323232996-74-68104-90
170-180-3003211710323232980-74-6912184
170-180-3003211710323232964-74-70101-64
170-180-3003211710323232932-72-116-11511
170-180-3003211710323232916-72-117-100-7
170-180-300321171032323290-72-118-128109
170-180-30032117103232328-112-72-119-39-54
170-180-30032117103232328-128-66-72-10659
170-180-3003211710323232896-66-7473-37
170-180-3003211710323232880-66-75124111
170-180-3003211710323232864-64108113-53
